Stephanie Mavunga,1.0,Above Average (Q2)
Angel Robinson,1.0,Above Average (Q2)
Sandora Irvin,1.0,Above Average (Q2)
Teresa Edwards,1.0,Above Average (Q2)
Shereka Wright,1.0,Above Average (Q2)
Crystal Smith,1.0,Above Average (Q2)
Lucienne Berthieu,1.0,Below Average (Q3)
Bernice Mosby,0.9,Below Average (Q3)
Brooke Smith,0.9,Below Average (Q3)
Erica McCall,0.9,Below Average (Q3)
AD Durr,0.9,Below Average (Q3)
Veronica Burton,0.9,Below Average (Q3)
Chennedy Carter,0.9,Below Average (Q3)
Keisha Hampton,0.9,Below Average (Q3)
Crystal Bradford,0.9,Below Average (Q3)
Stacy Clinesmith,0.9,Below Average (Q3)
Marla Brumfield,0.9,Below Average (Q3)
Amaya Valdemoro,0.8,Below Average (Q3)
Cierra Burdick,0.8,Below Average (Q3)
Kristy Wallace,0.8,Below Average (Q3)
Megan Frazee,0.8,Below Average (Q3)
Chantelle Anderson,0.8,Below Average (Q3)
DeTrina White,0.7,Below Average (Q3)
Gillian Goring,0.7,Below Average (Q3)
Sherill Baker,0.7,Below Average (Q3)
La'Tangela Atkinson,0.7,Below Average (Q3)
Kristine Anigwe,0.7,Below Average (Q3)
Maya Caldwell,0.7,Below Average (Q3)
Dana Evans,0.7,Below Average (Q3)
Jennifer Hamson,0.7,Below Average (Q3)
Angie Braziel,0.7,Below Average (Q3)
Lynn Pride,0.7,Below Average (Q3)
Maylana Martin,0.7,Below Average (Q3)
Clarissa Davis-Wrightsil,0.7,Below Average (Q3)
Katrina Colleton,0.7,Below Average (Q3)
Stacy Frese,0.6,Below Average (Q3)
Briana Gilbreath-Butler,0.6,Below Average (Q3)
Nadirah McKenith,0.6,Below Average (Q3)
Lauren Cox,0.6,Below Average (Q3)
Tiffany Stansbury,0.6,Below Average (Q3)
Tasha Butts,0.6,Below Average (Q3)
Linda Frohlich,0.6,Below Average (Q3)
Shyra Ely-Gash,0.5,Below Average (Q3)
Ann Strother,0.5,Below Average (Q3)
Olayinka Sanni,0.5,Below Average (Q3)
Iliana Rupert,0.5,Below Average (Q3)
Stella Johnson,0.5,Below Average (Q3)
Charli Collier,0.5,Below Average (Q3)
Awak Kuier,0.5,Below Average (Q3)
Olivia Nelson-Ododa,0.5,Below Average (Q3)
Nia Coffey,0.5,Below Average (Q3)
April Sykes,0.5,Below Average (Q3)
Asia Taylor,0.5,Below Average (Q3)
Tiffany Travis,0.5,Below Average (Q3)
Michele Van Gorp,0.5,Below Average (Q3)
Christy Smith,0.5,Below Average (Q3)
Tia Jackson,0.5,Below Average (Q3)
Carolyn Young,0.4,Below Average (Q3)
Kaleena Mosqueda-Lewis,0.4,Below Average (Q3)
Toni Young,0.4,Below Average (Q3)
Nia Clouden,0.4,Below Average (Q3)
Emily Engstler,0.4,Below Average (Q3)
Kylee Shook,0.4,Below Average (Q3)
Khadijah Whittington,0.4,Below Average (Q3)
Natasha Lacy,0.4,Below Average (Q3)
Erica White,0.4,Below Average (Q3)
Kimberly Beck,0.4,Below Average (Q3)
Jocelyn Penn,0.4,Below Average (Q3)
Andrea Gardner,0.4,Below Average (Q3)
Shaunzinski Gortman,0.4,Below Average (Q3)
Camille Cooper,0.4,Below Average (Q3)
Tausha Mills,0.4,Below Average (Q3)
Kelly Santos,0.4,Below Average (Q3)
Shaquala Williams,0.3,Below Average (Q3)
Coretta Brown,0.3,Below Average (Q3)
Candace Futrell,0.3,Below Average (Q3)
Carla Thomas,0.3,Below Average (Q3)
Nikki Blue,0.3,Below Average (Q3)
Jene Morris,0.3,Below Average (Q3)
Te'a Cooper,0.3,Below Average (Q3)
Waltiea Rolle,0.3,Below Average (Q3)
Rachel Jarry,0.3,Below Average (Q3)
