192,12,2017,Minnesota Lynx,Alexis Jones,NULL,Baylor,4,81,0.2,0.010,9.1,3.3,0.8,1.0
193,13,2017,Connecticut Sun,Shayla Cooper,NULL,Ohio State,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,14,2017,New York Liberty,Lindsay Allen,NULL,Notre Dame,5,114,2.9,0.068,15.1,3.8,1.4,2.7
195,15,2017,Seattle Storm,Alexis Peterson,NULL,Syracuse,1,17,-0.3,-0.112,7.1,2.1,1.2,0.8
196,16,2017,Connecticut Sun,Leticia Romero,NULL,Florida State,1,21,0.0,-0.007,7.0,1.1,0.8,1.1
197,17,2017,Indiana Fever,Erica McCall,NULL,Stanford,5,122,0.9,0.026,11.3,2.9,2.8,0.3
198,18,2017,Washington Mystics,Jennie Simms,NULL,Old Dominion,2,37,0.1,0.008,11.0,2.8,1.8,0.8
199,19,2017,Atlanta Dream,Jordan Reynolds,NULL,Tennessee,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,20,2017,Indiana Fever,Feyonda Fitzgerald,NULL,Temple,1,2,0.0,-0.191,4.0,0.0,2.0,0.5
201,21,2017,Chicago Sky,Chantel Osahor,NULL,Washington,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,22,2017,Indiana Fever,Ronni Williams,NULL,Florida,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,23,2017,Dallas Wings,Breanna Lewis,NULL,Kansas State,2,19,-0.4,-0.229,4.1,0.7,0.8,0.1
204,24,2017,Minnesota Lynx,Lisa Berkani,USO Mondeville (France),NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,25,2017,San Antonio Stars,Schaquilla Nunn,NULL,Tennessee,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,26,2017,Dallas Wings,Saniya Chong,NULL,UConn,2,38,0.2,0.017,10.7,2.5,0.9,1.0
207,27,2017,Washington Mystics,Mehryn Kraker,NULL,Green Bay,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,28,2017,Connecticut Sun,Jessica January,NULL,DePaul,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,29,2017,Phoenix Mercury,Alexis Prince,NULL,Baylor,3,22,0.2,0.063,6.9,2.3,1.0,0.3
210,30,2017,Seattle Storm,Lanay Montgomery,NULL,West Virginia,1,7,0.0,-0.045,4.0,0.9,0.7,0.0
211,31,2017,Atlanta Dream,Oderah Chidom,NULL,Duke,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,32,2017,Indiana Fever,Adrienne Motley,NULL,Miami (FL),0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
